employee_id,employee_name,team,role_level,week_start,total_hours_worked,overtime_hours_week,after_hours_min_week,meetings_count_week,tasks_completed_week,pto_days_week,days_worked_week,weekend_work_days,busy_period_share,workload_trend_4w,baseline_hours,baseline_after_hrs,baseline_pto,hours_vs_baseline,after_hrs_vs_baseline,pto_vs_baseline,burnout_score,burnout_category
ENG_0001,Employee_0001,QA Automation,Mid,2025-06-30,21.25,0.0,85,8,18,1.0,3,0,0.0,21.25,38.925,141.0,0.0,-17.67,-56.0,1.0,0.0,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-07,48.35,8.35,244,22,30,0.0,5,0,1.0,34.8,38.925,141.0,0.0,9.43,103.0,0.0,23.2,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-14,38.87,0.35,139,16,23,0.0,5,0,0.0,36.16,38.925,141.0,0.0,-0.05,-2.0,0.0,0.6,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-21,45.54,5.54,239,24,26,0.0,5,0,1.0,38.5,38.925,141.0,0.0,6.62,98.0,0.0,17.9,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-28,38.98,0.84,170,14,24,0.0,5,0,0.0,42.94,38.925,141.0,0.0,0.06,29.0,0.0,7.9,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-04,39.29,1.25,143,13,26,0.0,5,0,0.0,40.67,38.925,141.0,0.0,0.37,2.0,0.0,4.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-11,30.84,0.16,116,15,19,1.0,4,0,0.0,38.66,38.925,141.0,0.0,-8.08,-25.0,1.0,0.3,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-18,37.34,0.0,122,12,25,0.0,5,0,0.0,36.61,38.925,141.0,0.0,-1.58,-19.0,0.0,0.0,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-25,47.9,7.9,241,16,23,0.0,5,0,1.0,38.84,38.925,141.0,0.0,8.98,100.0,0.0,22.2,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-01,37.95,0.28,172,16,21,0.0,5,0,0.0,38.51,38.925,141.0,0.0,-0.97,31.0,0.0,3.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-08,32.31,0.44,197,11,23,1.0,4,0,0.0,38.88,38.925,141.0,0.0,-6.61,56.0,1.0,5.4,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-15,24.12,0.48,88,14,16,2.0,3,0,0.0,35.57,38.925,141.0,0.0,-14.8,-53.0,2.0,0.8,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-22,45.84,5.84,180,17,26,0.0,5,0,1.0,35.06,38.925,141.0,0.0,6.91,39.0,0.0,13.5,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-29,36.370000000000005,0.0,114,16,27,0.0,5,0,0.0,34.66,38.925,141.0,0.0,-2.55,-27.0,0.0,0.0,Low
