employee_id,employee_name,team,role_level,week_start,total_hours_worked,overtime_hours_week,after_hours_min_week,meetings_count_week,tasks_completed_week,pto_days_week,days_worked_week,weekend_work_days,busy_period_share,baseline_hours,baseline_after_hrs,baseline_pto,workload_trend_4w,hours_vs_baseline,after_hrs_vs_baseline,pto_vs_baseline
ENG_0001,Employee_0001,QA Automation,Mid,2025-06-30,21.25,0.0,85,8,18,1.0,3,0,0.0,38.925,141.0,0.0,21.25,-17.67,-56.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-07,48.35,8.35,244,22,30,0.0,5,0,1.0,38.925,141.0,0.0,34.8,9.43,103.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-14,38.87,0.35,139,16,23,0.0,5,0,0.0,38.925,141.0,0.0,36.16,-0.05,-2.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-21,45.54,5.54,239,24,26,0.0,5,0,1.0,38.925,141.0,0.0,38.5,6.62,98.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-07-28,38.980000000000004,0.84,170,14,24,0.0,5,0,0.0,38.925,141.0,0.0,42.94,0.06,29.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-04,39.29,1.25,143,13,26,0.0,5,0,0.0,38.925,141.0,0.0,40.67,0.37,2.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-11,30.84,0.16,116,15,19,1.0,4,0,0.0,38.925,141.0,0.0,38.66,-8.08,-25.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-18,37.34,0.0,122,12,25,0.0,5,0,0.0,38.925,141.0,0.0,36.61,-1.58,-19.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-08-25,47.9,7.9,241,16,23,0.0,5,0,1.0,38.925,141.0,0.0,38.84,8.98,100.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-01,37.95,0.28,172,16,21,0.0,5,0,0.0,38.925,141.0,0.0,38.51,-0.97,31.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-08,32.31,0.44,197,11,23,1.0,4,0,0.0,38.925,141.0,0.0,38.88,-6.61,56.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-15,24.12,0.48,88,14,16,2.0,3,0,0.0,38.925,141.0,0.0,35.57,-14.8,-53.0,2.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-22,45.839999999999996,5.84,180,17,26,0.0,5,0,1.0,38.925,141.0,0.0,35.06,6.91,39.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-09-29,36.370000000000005,0.0,114,16,27,0.0,5,0,0.0,38.925,141.0,0.0,34.66,-2.55,-27.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-06,37.53,5.53,198,13,18,1.0,4,0,1.0,38.925,141.0,0.0,35.97,-1.39,57.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-13,37.44,0.0,167,22,19,0.0,5,0,0.0,38.925,141.0,0.0,39.3,-1.48,26.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-20,21.1,0.0,51,9,18,2.0,3,0,0.0,38.925,141.0,0.0,33.11,-17.82,-90.0,2.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-27,49.129999999999995,9.13,360,14,30,0.0,5,0,1.0,38.925,141.0,0.0,36.3,10.2,219.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-03,30.0,0.0,127,11,15,1.0,4,0,0.0,38.925,141.0,0.0,34.42,-8.92,-14.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-10,46.42,6.42,221,17,17,0.0,5,0,1.0,38.925,141.0,0.0,36.66,7.5,80.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-17,39.45,0.61,197,10,29,0.0,5,0,0.0,38.925,141.0,0.0,41.25,0.53,56.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-24,37.36,0.03,125,10,27,0.0,5,0,0.0,38.925,141.0,0.0,38.31,-1.56,-16.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-01,39.7,1.26,190,17,21,0.0,5,0,0.0,38.925,141.0,0.0,40.73,0.78,49.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-08,47.8,7.8,288,22,21,0.0,5,0,1.0,38.925,141.0,0.0,41.08,8.88,147.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-15,30.53,0.0,162,16,23,1.0,4,0,0.0,38.925,141.0,0.0,38.85,-8.39,21.0,1.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-22,48.67,8.67,237,9,15,0.0,5,0,1.0,38.925,141.0,0.0,41.68,9.75,96.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-29,39.02,0.76,127,14,26,0.0,5,0,0.0,38.925,141.0,0.0,41.5,0.1,-14.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-05,36.019999999999996,0.2,135,15,24,0.0,5,0,0.0,38.925,141.0,0.0,38.56,-2.91,-6.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-12,38.870000000000005,0.72,125,24,28,0.0,5,0,0.0,38.925,141.0,0.0,40.64,-0.05,-16.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-19,40.4,1.17,182,13,31,0.0,5,0,0.0,38.925,141.0,0.0,38.58,1.48,41.0,0.0
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-26,37.29,0.0,141,13,18,0.0,5,0,0.0,38.925,141.0,0.0,38.14,-1.63,0.0,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-06-30,44.699999999999996,12.7,377,14,12,0.0,4,0,1.0,45.57,291.5,0.0,44.7,-0.87,85.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-07-07,45.93,5.93,285,14,24,0.0,5,0,0.0,45.57,291.5,0.0,45.32,0.36,-6.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-07-14,44.66,4.66,275,13,25,0.0,5,0,0.0,45.57,291.5,0.0,45.1,-0.91,-16.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-07-21,45.21,5.21,298,18,29,0.0,5,0,0.0,45.57,291.5,0.0,45.12,-0.36,6.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-07-28,46.43,6.68,256,14,27,0.0,5,0,0.0,45.57,291.5,0.0,45.56,0.86,-35.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-08-04,47.36,7.36,310,16,25,0.0,5,0,0.0,45.57,291.5,0.0,45.92,1.79,18.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-08-11,35.92,3.92,206,11,25,1.0,4,0,0.0,45.57,291.5,0.0,43.73,-9.65,-85.5,1.0
ENG_0002,Employee_0002,DevOps,Mid,2025-08-18,57.84,17.84,485,14,26,0.0,5,0,1.0,45.57,291.5,0.0,46.89,12.27,193.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-08-25,55.29,15.29,541,24,26,0.0,5,0,1.0,45.57,291.5,0.0,49.1,9.72,249.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-09-01,34.36,2.71,194,14,19,1.0,4,0,0.0,45.57,291.5,0.0,45.85,-11.21,-97.5,1.0
ENG_0002,Employee_0002,DevOps,Mid,2025-09-08,44.19,4.19,227,18,21,0.0,5,0,0.0,45.57,291.5,0.0,47.92,-1.38,-64.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-09-15,43.86,3.95,283,16,20,0.0,5,0,0.0,45.57,291.5,0.0,44.42,-1.71,-8.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-09-22,44.97,4.97,257,13,25,0.0,5,0,0.0,45.57,291.5,0.0,41.84,-0.6,-34.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-09-29,73.36,18.69,691,21,30,0.0,7,2,1.0,45.57,291.5,0.0,51.6,27.79,399.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-10-06,64.48,17.55,529,20,40,0.0,6,1,1.0,45.57,291.5,0.0,56.67,18.91,237.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-10-13,37.010000000000005,5.01,213,13,21,1.0,4,0,0.0,45.57,291.5,0.0,54.96,-8.56,-78.5,1.0
ENG_0002,Employee_0002,DevOps,Mid,2025-10-20,46.56,6.56,293,12,27,0.0,5,0,0.0,45.57,291.5,0.0,55.35,0.99,1.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-10-27,56.81,16.81,529,16,23,0.0,5,0,1.0,45.57,291.5,0.0,51.22,11.24,237.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-11-03,63.769999999999996,16.98,511,24,33,0.0,6,1,1.0,45.57,291.5,0.0,51.04,18.2,219.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-11-10,36.76,4.76,242,9,20,1.0,4,0,0.0,45.57,291.5,0.0,50.98,-8.81,-49.5,1.0
ENG_0002,Employee_0002,DevOps,Mid,2025-11-17,55.959999999999994,15.96,465,14,26,0.0,5,0,1.0,45.57,291.5,0.0,53.32,10.39,173.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-11-24,37.2,5.2,277,13,24,1.0,4,0,0.0,45.57,291.5,0.0,48.42,-8.37,-14.5,1.0
ENG_0002,Employee_0002,DevOps,Mid,2025-12-01,55.97,15.97,454,19,24,0.0,5,0,1.0,45.57,291.5,0.0,46.47,10.4,162.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-12-08,44.93,4.93,257,20,25,0.0,5,0,0.0,45.57,291.5,0.0,48.52,-0.64,-34.5,0.0
ENG_0002,Employee_0002,DevOps,Mid,2025-12-15,27.54,3.54,162,9,14,2.0,3,0,0.0,45.57,291.5,0.0,41.41,-18.03,-129.5,2.0
